question,key,deduction,comment,total
1,0,0,Correct,1
1,1,1,Wrong,1
1,2,0.5,Partial credit,1
2,0,0,Correct,1
2,1,1,Wrong,1
2,2,0.5,Partial credit,1
3,0,0,Partial credit,1
3,1,1,Partial credit,1
3,2,0.5,Partial credit,1
4,0,0,Partial credit,1
4,1,1,Partial credit,1
4,2,0.5,Partial credit,1
5,0,0,Correct,1
5,1,1,Wrong,1
5,2,0.5,Partial credit,1
6,0,0,Correct,1
6,1,1,Wrong,1
6,2,0.5,Partial credit,1
7,0,0,Correct,2
7,1,1,Wrong,2
7,2,0.25,Partial credit,2
7,3,0.5,Partial credit,2
8,0,0,Correct,1
8,1,1,Wrong,1
8,2,0.5,Partial credit,1
9,0,0,Correct,2
9,1,1,Wrong,2
9,2,0.25,Partial credit,2
9,3,0.5,Partial credit,2
10,0,0,Correct,1
10,1,1,Wrong,1
10,2,0.5,Partial credit,1
11,0,0,Correct,1
11,1,1,Wrong,1
11,2,0.5,Partial credit,1
12,0,0,Correct,1
12,1,1,Wrong,1
12,2,0.5,Partial credit,1
13,0,0,Correct,1
13,1,1,Wrong,1
13,2,0.5,Partial credit,1
14,0,0,Correct,1
14,1,1,Wrong,1
14,2,0.5,Partial credit,1
15,0,0,Correct,1
15,1,1,Wrong,1
15,2,0.5,Partial credit,1
16,0,0,Correct,1
16,1,1,Wrong,1
16,2,0.5,Partial credit,1
17,0,0,Correct,1
17,1,1,Wrong,1
17,2,0.5,Partial credit,1
18,0,0,Correct,1
18,1,1,Wrong,1
18,2,0.5,Partial credit,1
19,0,0,Correct,1
19,1,1,Wrong,1
19,2,0.5,Partial credit,1
20,0,0,Correct,1
20,1,1,Wrong,1
20,2,0.5,Partial credit,1
21,0,0,Correct,1
21,1,1,Wrong,1
21,2,0.5,Partial credit,1
22,0,0,Correct,1
22,1,1,Wrong,1
22,2,0.5,Partial credit,1
23,0,0,Correct,2
23,1,1,Wrong,2
23,2,0.25,Partial credit,2
23,3,0.5,Partial credit,2
24,0,0,Correct,1
24,1,1,Wrong,1
24,2,0.5,Partial credit,1
25,0,0,Correct,2
25,1,1,Wrong,2
25,2,0.25,Partial credit,2
25,3,0.5,Partial credit,2
26,0,0,Correct,1
26,1,1,Wrong,1
26,2,0.5,Partial credit,1
27,0,0,Correct,2
27,1,1,Wrong,2
27,2,0.25,Partial credit,2
27,3,0.5,Partial credit,2
28,0,0,Correct,1
28,1,1,Wrong,1
28,2,0.5,Partial credit,1
29,0,0,Correct,1
29,1,1,Wrong,1
29,2,0.5,Partial credit,1
30,0,0,Correct,1
30,1,1,Wrong,1
30,2,0.5,Partial credit,1
31,0,0,Correct,1
31,1,1,Wrong,1
31,2,0.5,Partial credit,1
32,0,0,Correct,1
32,1,1,Wrong,1
32,2,0.5,Partial credit,1
33,0,0,Correct,1
33,1,1,Wrong,1
33,2,0.5,Partial credit,1
34,0,0,Correct,1
34,1,1,Wrong,1
34,2,0.5,Partial credit,1
35,0,0,Correct,1
35,1,1,Wrong,1
35,2,0.5,Partial credit,1
36,0,0,Correct,1
36,1,1,Wrong,1
36,2,0.5,Partial credit,1
37,0,0,Correct,1
37,1,1,Wrong,1
37,2,0.5,Partial credit,1
38,0,0,Correct,1
38,1,1,Wrong,1
38,2,0.5,Partial credit,1
39,0,0,Correct,1
39,1,1,Wrong,1
39,2,0.5,Partial credit,1
40,0,0,Correct,2
40,1,1,Wrong,2
40,2,0.25,Partial credit,2
40,3,0.5,Partial credit,2
41,0,0,Correct,1
41,1,1,Wrong,1
41,2,0.5,Wrong,1
